                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7216,                 8.2092,                 5.0849,                      0,                      0,                      0,                      0,                 2.9376,                 5.9808,                  4.155,              2.449e-05,              2.449e-05,              2.449e-05
                      1,                 3.4527,                 7.4888,                 4.4142,                      0,                      0,                      0,                      0,                 2.9594,                 5.9882,                 4.1644,             4.9277e-05,             4.9277e-05,             4.9277e-05
                      2,                 3.2204,                 7.1552,                 4.0879,                      0,                      0,                      0,                      0,                 2.9793,                  6.003,                 4.1829,             7.3564e-05,             7.3564e-05,             7.3564e-05
                      3,                 2.7723,                 6.7099,                 3.9295,                      0,                      0,                      0,                      0,                 2.9154,                  5.988,                 4.1649,             7.6654e-05,             7.6654e-05,             7.6654e-05
                      4,                 2.4613,                 6.3835,                 3.6747,                  0.005,                0.05615,                0.00731,                0.00432,                 1.9864,                 5.2192,                 3.7555,             7.6654e-05,             7.6654e-05,             7.6654e-05
                      5,                 2.3123,                 5.9015,                 3.4745,                0.00481,                0.11475,                0.00685,                0.00272,                 2.1703,                 4.9758,                 4.3025,             7.5872e-05,             7.5872e-05,             7.5872e-05
                      6,                 2.0994,                 5.5175,                 3.2823,                 0.0078,                0.40943,                0.02919,                0.01212,                 1.9923,                 5.4122,                 3.9317,             7.5089e-05,             7.5089e-05,             7.5089e-05
                      7,                 1.8777,                 5.2957,                 3.1927,                0.00934,                0.41721,                0.03416,                0.01765,                 1.8039,                 4.2936,                 3.5447,             7.4307e-05,             7.4307e-05,             7.4307e-05
                      8,                 1.7915,                 4.9961,                  3.079,                0.01656,                0.43484,                0.05232,                0.02565,                 1.7531,                 4.2574,                 3.4076,             7.3525e-05,             7.3525e-05,             7.3525e-05
                      9,                 1.8077,                 4.8942,                 2.8706,                0.01042,                0.70123,                0.07221,                0.03868,                 1.6871,                 3.8721,                 3.1085,             7.2743e-05,             7.2743e-05,             7.2743e-05
                     10,                 1.6481,                 4.6525,                 2.8881,                0.01847,                0.65246,                0.10555,                0.06976,                  1.358,                 3.7583,                  3.073,             7.1961e-05,             7.1961e-05,             7.1961e-05
                     11,                 1.6473,                 4.5586,                  2.777,                0.37367,                0.30629,                0.14635,                0.11161,                 1.1181,                 3.5396,                 2.8272,             7.1179e-05,             7.1179e-05,             7.1179e-05
